name,nationality,age,height,pos_gral,position,preferred_foot,weak_foot,att_work_rate,def_work_rate,overall,potential,crossing,finishing,heading,short_passing,volleys,marking,standing_tackle,sliding_tackle,acceleration,sprint,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,dribbling,curve,fk_acc,long_passing,ball_control,aggression,interceptions,positioning,vision,penalties,composure,diving,handling,kicking_gk,positioning_gk,reflexes,speed_gk,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,ldm,cdm,rdm,lwb,rwb,lb,lcb,cb,rcb,rb,gk
J. Vermersc,Belgium,22,165,def,LB,0,3,0.5,0.5,57,65,55,53,48,52,24,55,57,54,62,55,59,47,67,52,71,61,75,56,62,49,59,41,60,49,51,52,48,49,60.0,14,10,9,14,9,,56,56,56,56,55,55,55,56,56,56,56,57,54,54,54,57,55,55,55,57,57,57,58,58,58,57,17
D. Daidelfo,Italy,22,158,del,ST,1,3,0.5,0.5,57,66,52,56,57,60,52,15,33,33,63,67,59,55,78,61,64,54,56,59,57,49,53,49,55,29,19,54,48,64,55.0,8,9,9,12,7,,59,59,59,57,57,57,57,57,58,58,58,58,53,53,53,58,43,43,43,47,47,45,40,40,40,45,16
C. Wibaut,France,17,172,arq,GK,1,2,0.5,0.5,57,75,15,8,13,22,8,10,11,12,38,35,37,49,45,44,52,27,37,8,9,15,12,21,12,21,13,7,38,13,23.0,63,59,58,48,59,37.0,22,22,22,20,21,21,21,20,23,23,23,23,23,23,23,23,22,22,22,22,22,22,21,21,21,22,58
Alexia Putellas,Spain,28,173,med,CM,0,4,1.0,0.5,92,92,87,94,74,95,90,60,82,64,82,78,76,95,78,81,75,90,75,90,93,89,89,91,94,58,79,96,95,91,91.0,15,17,11,15,10,,92,92,92,91,92,92,92,91,92,92,92,92,92,92,92,92,86,86,86,86,86,84,78,78,78,84,26
S. Kerr,Australia,28,168,del,ST,1,4,1.0,1.0,91,91,80,93,91,78,92,44,39,35,89,85,90,93,82,91,91,87,86,89,90,76,69,55,92,70,24,95,83,79,92.0,7,12,8,16,13,,91,91,91,88,90,90,90,88,90,90,90,89,80,80,80,89,64,64,64,69,69,66,62,62,62,66,24
A. Hegerberg,Norway,26,176,del,ST,1,4,1.0,0.5,91,92,71,94,93,84,90,42,33,29,83,86,74,93,47,86,89,75,81,89,91,79,75,72,91,65,23,96,76,86,86.0,15,7,12,10,14,,92,92,92,87,89,89,89,87,90,90,90,88,82,82,82,88,64,64,64,66,66,63,59,59,59,63,23
W. Renard,France,31,187,def,CB,1,3,1.0,0.5,91,91,51,70,96,84,55,93,94,91,68,66,53,90,34,85,86,75,93,65,69,65,58,87,85,88,90,70,59,75,84.0,7,14,17,11,15,,81,81,81,71,75,75,75,71,77,77,77,76,82,82,82,76,90,90,90,83,83,86,91,91,91,86,24
A. Morgan,United States,32,170,del,ST,0,4,1.0,0.0,90,90,71,95,86,83,87,34,29,27,83,84,76,93,67,88,76,75,77,83,87,68,70,67,93,53,63,96,74,88,92.0,11,11,10,10,11,,90,90,90,86,89,89,89,86,89,89,89,87,82,82,82,87,67,67,67,69,69,66,60,60,60,66,23
C. Hansen,Norway,27,178,del,RW,1,4,1.0,0.5,90,90,93,86,75,90,82,45,50,46,88,88,85,89,75,79,68,84,74,85,94,90,77,84,92,66,35,88,93,80,84.0,17,11,15,13,9,,89,89,89,90,89,89,89,90,90,90,90,90,88,88,88,90,72,72,72,75,75,71,63,63,63,71,24
L. Bronze,England,30,171,def,RB,1,3,1.0,1.0,90,90,87,73,82,85,66,89,91,89,89,89,86,89,82,85,92,90,90,86,79,88,81,80,85,82,85,73,73,62,86.0,10,14,16,8,15,,84,84,84,82,81,81,81,82,84,84,84,86,85,85,85,86,89,89,89,90,90,90,90,90,90,90,23
M. Katoto,France,23,177,del,ST,1,4,1.0,0.5,90,94,71,93,92,87,91,37,35,29,89,88,80,90,68,86,86,82,81,87,86,71,69,70,89,44,27,94,79,82,85.0,14,12,11,14,8,,93,93,93,87,89,89,89,87,90,90,90,88,82,82,82,88,64,64,64,67,67,64,58,58,58,64,24
V. Miedema,Netherlands,25,178,del,ST,1,4,1.0,1.0,89,90,69,90,83,79,90,22,30,23,86,81,80,90,73,90,75,87,85,90,89,76,78,55,92,70,27,95,69,75,92.0,14,16,17,14,17,,90,90,90,85,87,87,87,85,87,87,87,86,78,78,78,86,60,60,60,64,64,60,55,55,55,60,27
B. Mead,England,27,163,del,RW,1,4,1.0,1.0,89,89,90,92,68,87,73,61,69,68,80,81,69,92,84,87,74,83,84,89,91,81,89,81,90,31,77,94,90,68,84.0,11,15,17,16,10,,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,80,80,80,84,84,81,74,74,74,81,25
C. Endler,Chile,30,183,arq,GK,0,3,0.5,0.5,89,89,15,15,13,27,8,15,11,12,43,35,39,86,42,64,65,32,46,17,15,17,11,34,22,21,15,10,69,13,45.0,89,85,85,90,92,40.0,33,33,33,29,32,32,32,29,36,36,36,34,37,37,37,34,31,31,31,29,29,28,27,27,27,28,89
A. Popp,Germany,31,174,del,ST,0,5,1.0,1.0,88,88,74,89,92,87,89,45,52,48,80,79,71,89,70,89,89,80,82,87,84,73,73,67,86,84,59,91,79,86,81.0,12,14,13,7,14,,88,88,88,84,86,86,86,84,87,87,87,86,83,83,83,86,73,73,73,74,74,72,70,70,70,72,23
Irene Paredes,Spain,30,177,def,CB,1,3,0.5,1.0,88,88,59,51,88,84,60,93,87,87,75,75,68,92,65,60,79,85,82,55,57,69,74,62,85,87,92,39,51,70,75.0,15,12,13,14,16,,70,70,70,66,66,66,66,66,70,70,70,71,75,75,75,71,87,87,87,85,85,87,88,88,88,87,26
Jenni Hermoso,Spain,32,174,del,ST,0,4,0.5,0.5,88,88,72,93,78,91,80,43,42,45,77,78,75,93,64,87,72,75,76,87,89,74,80,82,90,54,45,96,81,90,91.0,13,13,16,13,14,,88,88,88,87,88,88,88,87,88,88,88,88,86,86,86,88,70,70,70,71,71,68,62,62,62,68,25
A. Henry,France,32,171,med,CDM,1,3,1.0,1.0,88,88,63,78,72,88,64,89,89,84,75,69,68,91,61,90,84,84,85,87,77,68,67,85,84,90,87,68,81,75,83.0,11,13,15,14,7,,82,82,82,78,80,80,80,78,84,84,84,81,87,87,87,81,88,88,88,85,85,85,88,88,88,85,23
K. Diani,France,27,168,del,RW,1,4,1.0,1.0,88,88,84,87,70,87,74,42,59,51,89,91,89,87,85,76,53,81,82,82,88,72,65,74,90,52,55,91,85,71,84.0,15,7,7,15,13,,88,88,88,88,87,87,87,88,88,88,88,88,85,85,85,88,73,73,73,76,76,74,66,66,66,74,23
Sandra Paños,Spain,29,169,arq,GK,1,3,0.5,0.5,88,88,16,11,20,23,19,22,18,14,44,50,54,84,70,65,72,45,64,17,11,22,25,18,20,19,19,14,34,27,56.0,87,84,87,87,91,46.0,33,33,33,27,29,29,29,27,29,29,29,30,29,29,29,30,30,30,30,31,31,31,31,31,31,31,88
Mapi León,Spain,27,169,def,CB,0,3,1.0,0.5,88,90,86,61,87,90,49,94,90,90,77,79,75,94,75,51,76,75,75,59,68,63,75,90,91,88,91,59,56,64,70.0,12,8,11,14,12,,75,75,75,76,73,73,73,76,78,78,78,81,83,83,83,81,90,90,90,90,90,90,90,90,90,90,24
K. Little,Scotland,32,162,med,CM,1,4,1.0,1.0,88,88,84,78,56,89,82,38,79,77,82,77,85,89,88,85,75,94,53,84,90,77,60,81,92,65,84,91,88,80,85.0,12,5,6,10,6,,84,84,84,87,87,87,87,87,88,88,88,88,88,88,88,88,82,82,82,85,85,82,72,72,72,82,20
A. Schult,Germany,31,180,arq,GK,1,2,0.5,0.5,87,87,11,11,11,25,13,17,10,11,35,42,35,80,40,62,61,30,78,11,9,14,25,24,23,35,13,13,34,20,45.0,87,84,82,90,89,38.0,33,33,33,24,27,27,27,24,29,29,29,29,29,29,29,29,30,30,30,27,27,27,30,30,30,27,87
A. Lawrence,Canada,27,164,def,RB,1,4,1.0,0.5,87,88,86,62,73,86,66,84,87,83,88,88,85,87,87,79,77,88,72,76,81,78,70,81,85,80,84,73,82,75,83.0,14,10,11,9,14,,79,79,79,81,80,80,80,81,84,84,84,86,86,86,86,86,87,87,87,88,88,88,85,85,85,88,23
L. Martens,Netherlands,29,170,del,LW,1,4,0.5,0.0,87,87,89,88,57,87,78,47,39,34,80,82,86,86,74,84,69,74,77,87,91,90,80,80,90,66,45,87,85,79,87.0,7,9,13,16,16,,86,86,86,87,87,87,87,87,87,87,87,87,84,84,84,87,69,69,69,71,71,66,59,59,59,66,23
L. Magull,Germany,27,166,med,CM,1,3,1.0,0.5,87,87,79,84,60,93,76,45,66,48,88,84,92,89,89,70,64,85,60,79,88,78,78,85,93,65,76,85,90,76,75.0,8,13,15,7,15,,84,84,84,87,87,87,87,87,87,87,87,87,87,87,87,87,79,79,79,80,80,76,68,68,68,76,23
G. Geyoro,France,24,168,med,CM,1,3,1.0,1.0,87,91,69,73,64,89,51,81,90,83,82,74,73,88,79,69,58,93,75,71,82,68,48,89,88,71,87,82,85,52,79.0,13,16,16,14,11,,80,80,80,81,81,81,81,81,86,86,86,86,90,90,90,86,89,89,89,87,87,86,84,84,84,86,25
M. Bright,England,28,178,def,CB,1,4,0.0,1.0,87,88,50,45,89,88,35,90,85,82,51,65,34,89,37,63,90,78,92,46,59,51,60,89,83,91,87,38,59,59,86.0,11,12,12,8,16,,67,67,67,62,64,64,64,62,69,69,69,69,78,78,78,69,88,88,88,80,80,82,88,88,88,82,23
L. Hemp,England,21,164,del,LW,0,3,1.0,1.0,87,93,94,85,69,84,69,56,58,50,92,92,91,88,90,83,77,88,60,71,92,86,81,76,86,59,71,83,84,68,71.0,7,6,11,12,8,,85,85,85,87,86,86,86,87,88,88,88,91,85,85,85,91,76,76,76,81,81,78,68,68,68,78,20
C. Press,United States,33,170,del,ST,1,3,1.0,0.0,86,86,75,88,84,86,80,42,44,26,84,85,88,84,74,86,69,81,73,87,88,78,62,71,90,62,43,87,71,82,80.0,15,14,9,11,11,,86,86,86,85,86,86,86,85,86,86,86,86,81,81,81,86,67,67,67,69,69,66,60,60,60,66,23
F. Kirby,England,29,157,med,CAM,1,4,1.0,0.5,86,86,63,89,72,85,88,45,45,39,91,89,91,89,93,87,72,67,54,89,91,48,65,66,90,45,35,90,77,77,84.0,13,9,12,16,16,,86,86,86,86,86,86,86,86,86,86,86,86,81,81,81,86,65,65,65,68,68,65,57,57,57,65,25
G. Reiten,Norway,27,167,med,LM,0,3,1.0,0.5,86,86,94,82,60,79,42,60,67,66,88,91,93,89,89,81,65,92,50,79,81,74,80,78,85,58,73,82,85,66,86.0,16,16,12,11,16,,82,82,82,85,83,83,83,85,86,86,86,86,85,85,85,86,77,77,77,83,83,81,70,70,70,81,26
S. Däbritz,Germany,27,171,med,CM,0,5,0.5,0.5,86,87,78,85,49,89,69,77,78,68,84,79,86,83,67,83,55,82,78,87,90,81,74,86,90,53,81,85,88,72,80.0,13,14,16,11,16,,84,84,84,86,86,86,86,86,87,87,87,87,87,87,87,87,84,84,84,84,84,81,76,76,76,81,24
S. Huth,Germany,31,163,med,RM,1,5,0.5,0.5,86,86,86,78,48,87,79,40,65,66,88,84,90,88,95,73,71,90,49,72,87,78,67,78,83,42,71,81,86,77,79.0,17,10,7,12,10,,79,79,79,84,82,82,82,84,86,86,86,86,85,85,85,86,75,75,75,81,81,77,64,64,64,77,23
A. Majri,France,29,164,del,LW,0,3,1.0,1.0,86,86,92,79,74,89,62,84,85,83,84,80,88,86,84,77,76,65,78,71,89,89,84,77,89,79,84,84,82,73,83.0,10,16,12,14,10,,84,84,84,86,84,84,84,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,85,85,85,86,24
L. Horan,United States,28,175,med,CM,1,3,1.0,0.5,86,86,79,86,89,91,80,59,60,49,80,79,79,89,66,89,79,89,81,88,85,68,78,90,87,63,69,89,88,75,76.0,7,15,13,9,11,,86,86,86,85,86,86,86,85,86,86,86,86,86,86,86,86,80,80,80,79,79,76,73,73,73,76,22
R. Lavelle,United States,27,163,med,CAM,0,3,0.5,0.5,86,87,69,81,44,91,50,41,48,53,80,79,80,87,81,74,60,73,52,84,90,49,60,86,88,63,50,82,85,61,72.0,16,8,13,11,10,,80,80,80,84,84,84,84,84,87,87,87,87,85,85,85,87,71,71,71,72,72,68,59,59,59,68,23
S. Karchaoui,France,26,160,def,LB,0,4,1.0,0.5,86,89,90,50,61,88,59,81,84,79,93,87,90,84,85,65,62,86,50,55,85,79,67,78,89,70,86,78,73,53,82.0,9,14,16,14,10,,73,73,73,81,78,78,78,81,82,82,82,85,83,83,83,85,84,84,84,88,88,86,78,78,78,86,22
Aitana Bonmatí,Spain,24,161,med,CM,1,4,1.0,0.5,86,92,67,89,61,90,62,69,71,62,81,82,75,83,81,63,73,80,64,87,88,76,67,86,90,42,77,86,91,70,83.0,9,15,11,12,14,,83,83,83,85,86,86,86,85,91,91,91,88,89,89,89,88,81,81,81,80,80,78,72,72,72,78,23
L. Oberdorf,Germany,20,174,med,CDM,1,3,0.5,0.5,86,92,62,72,80,85,57,84,90,92,71,70,71,85,78,75,76,80,81,60,71,59,55,81,81,91,87,72,81,53,81.0,14,14,9,11,11,,78,78,78,74,76,76,76,74,80,80,80,79,83,83,83,79,88,88,88,84,84,85,88,88,88,85,23
P. Harder,Denmark,29,169,med,CAM,1,4,1.0,0.5,86,86,78,79,76,85,73,19,22,23,87,89,84,86,78,77,78,78,81,76,92,70,73,81,88,66,21,87,84,85,90.0,12,6,8,13,6,,86,86,86,85,85,85,85,85,86,86,86,86,81,81,81,86,61,61,61,63,63,59,51,51,51,59,21
Catarina Macario,United States,22,165,med,CAM,1,3,1.0,0.5,86,94,79,84,72,83,74,48,55,43,87,83,83,81,84,82,68,79,71,90,90,85,82,77,93,70,51,82,85,80,88.0,12,7,14,7,13,,86,86,86,86,86,86,86,86,89,89,89,88,84,84,84,88,72,72,72,73,73,70,65,65,65,70,21
P. Dudek,Poland,25,169,def,CB,0,2,0.5,0.5,86,90,45,42,89,82,39,91,92,87,62,72,61,83,66,59,90,70,76,35,68,62,41,74,76,88,87,49,53,66,73.0,14,11,13,15,14,,66,66,66,62,64,64,64,62,67,67,67,67,73,73,73,67,84,84,84,79,79,81,88,88,88,81,23
M. Zinsberger,Austria,26,177,arq,GK,1,4,0.5,0.5,86,89,33,18,6,23,12,20,13,16,45,39,46,81,62,63,83,22,78,25,11,19,24,15,36,26,10,11,70,54,56.0,88,78,84,88,90,43.0,35,35,35,32,34,34,34,32,37,37,37,35,35,35,35,35,31,31,31,31,31,30,31,31,31,30,88
S. Bacha,France,21,161,def,LB,0,3,1.0,1.0,86,93,93,64,58,88,49,77,83,85,93,84,94,81,87,92,70,93,71,67,80,87,64,77,83,75,81,82,79,49,82.0,14,14,6,9,14,,78,78,78,82,80,80,80,82,83,83,83,85,84,84,84,85,84,84,84,87,87,86,80,80,80,86,22
B. Sauerbrunn,United States,37,170,def,CB,1,2,0.0,1.0,85,85,65,35,81,78,28,89,87,89,72,72,51,87,69,47,86,78,87,34,56,41,29,62,68,88,87,47,45,56,89.0,15,12,7,10,11,,62,62,62,60,59,59,59,60,63,63,63,67,69,69,69,67,82,82,82,82,82,84,85,85,85,84,23
M. Rapinoe,United States,36,170,med,CAM,1,4,1.0,0.0,85,85,88,89,76,87,70,46,46,48,62,66,77,86,68,80,73,59,65,85,88,91,88,82,90,67,47,88,85,92,91.0,15,12,14,14,11,,85,85,85,84,85,85,85,84,85,85,85,85,84,84,84,85,70,70,70,70,70,67,63,63,63,67,24
A. Naeher,United States,34,175,arq,GK,1,2,0.5,0.5,85,85,17,13,16,23,12,18,19,20,43,46,61,81,56,60,66,45,43,14,16,14,15,38,15,28,23,13,14,42,49.0,87,78,80,85,89,44.0,32,32,32,25,26,26,26,25,28,28,28,30,30,30,30,30,32,32,32,32,32,32,30,30,30,32,85
F. Rolfö,Sweden,28,178,del,LW,0,4,1.0,1.0,85,85,81,87,79,88,81,65,66,65,83,83,77,86,73,85,58,78,84,84,87,74,63,75,89,50,65,84,86,77,81.0,7,11,16,14,9,,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,78,78,78,80,80,78,74,74,74,78,22
G. Mbock,France,27,172,def,CB,1,3,1.0,1.0,85,88,59,49,89,81,44,86,91,83,65,76,60,82,53,73,83,78,89,48,62,52,42,78,75,86,82,53,50,65,79.0,7,16,12,12,15,,71,71,71,64,65,65,65,64,68,68,68,70,74,74,74,70,84,84,84,80,80,83,88,88,88,83,23
K. Buchanan,Canada,26,170,def,CB,1,3,0.5,0.5,85,88,26,31,82,71,46,92,86,88,68,78,63,75,63,63,93,79,90,40,58,26,29,71,70,85,85,46,47,45,80.0,13,17,9,10,17,,63,63,63,56,59,59,59,56,62,62,62,62,69,69,69,62,82,82,82,76,76,79,88,88,88,79,24
M. Pugh,United States,24,163,med,CAM,1,3,1.0,0.5,85,91,79,87,67,81,70,24,28,25,87,87,81,86,92,75,63,74,48,79,85,67,67,64,88,70,43,85,85,75,72.0,12,11,15,16,17,,84,84,84,85,85,85,85,85,87,87,87,86,79,79,79,86,62,62,62,66,66,62,51,51,51,62,25
D. Cascarino,France,25,167,del,RW,1,2,1.0,0.5,85,88,83,72,36,83,70,39,39,30,95,94,93,79,94,80,49,76,55,76,88,75,57,76,89,41,35,83,80,67,79.0,14,16,12,15,11,,78,78,78,85,83,83,83,85,86,86,86,86,79,79,79,86,62,62,62,68,68,62,49,49,49,62,23
Patri Guijarro,Spain,24,170,med,CM,1,3,1.0,0.5,85,92,69,85,76,86,58,77,81,71,69,73,71,88,79,78,72,77,66,87,84,45,66,93,85,51,76,78,89,75,73.0,14,8,9,17,17,,82,82,82,81,83,83,83,81,86,86,86,83,87,87,87,83,82,82,82,80,80,79,77,77,77,79,24
J. Campbell,United States,27,175,arq,GK,1,2,0.5,0.5,85,87,17,13,17,22,12,12,18,19,42,44,58,81,55,65,64,45,42,14,16,14,15,37,20,29,22,14,45,42,68.0,84,83,86,86,83,43.0,32,32,32,28,30,30,30,28,32,32,32,32,33,33,33,32,31,31,31,31,31,31,28,28,28,31,86
J. Roord,Netherlands,25,175,med,CAM,1,4,1.0,0.5,85,88,85,86,67,87,80,59,46,34,77,77,74,89,70,86,56,76,72,90,85,77,77,77,87,44,57,86,85,78,82.0,11,14,13,9,10,,86,86,86,85,85,85,85,85,88,88,88,87,84,84,84,87,71,71,71,73,73,69,62,62,62,69,23
C. Mateo,France,24,168,med,RM,1,3,1.0,1.0,85,90,74,86,73,86,79,56,54,44,80,85,77,82,78,81,82,92,66,86,86,73,74,80,88,60,56,90,84,72,84.0,11,11,9,17,16,,85,85,85,84,85,85,85,84,87,87,87,86,84,84,84,86,73,73,73,74,74,71,65,65,65,71,23
L. Williamson,England,25,170,def,CB,1,3,1.0,0.5,85,90,60,46,85,88,45,90,84,82,79,79,68,90,73,48,89,67,77,46,64,60,69,92,83,80,86,31,65,52,84.0,13,13,11,9,8,,66,66,66,67,66,66,66,67,73,73,73,73,79,79,79,73,87,87,87,82,82,84,88,88,88,84,22
Ona Batlle,Spain,23,165,def,RB,1,4,1.0,1.0,85,92,80,51,66,90,46,84,89,86,85,80,84,81,85,53,74,90,62,40,82,77,50,75,76,72,82,60,66,51,69.0,13,8,15,14,5,,69,69,69,74,71,71,71,74,77,77,77,80,80,80,80,80,85,85,85,87,87,86,82,82,82,86,21
T. Waßmuth,Germany,25,170,med,RM,1,4,0.5,0.5,85,86,80,89,75,87,72,28,24,20,85,83,76,88,72,84,69,80,67,83,80,69,60,68,86,65,22,86,87,70,76.0,6,10,9,6,12,,86,86,86,84,85,85,85,84,86,86,86,86,80,80,80,86,60,60,60,64,64,59,51,51,51,59,20
S. Smith,United States,21,168,del,RW,1,3,1.0,0.5,85,94,73,88,49,71,75,38,42,38,84,86,89,90,90,82,56,79,70,83,87,74,60,62,90,65,43,90,80,67,68.0,12,13,13,13,6,,84,84,84,85,85,85,85,85,85,85,85,84,78,78,78,84,64,64,64,68,68,64,55,55,55,64,22
D. Marozsán,Germany,30,171,med,CAM,1,4,1.0,0.0,84,84,89,78,61,88,88,55,49,53,78,76,80,80,68,89,67,64,79,83,89,92,90,80,89,73,71,80,85,90,86.0,8,10,15,9,12,,83,83,83,84,83,83,83,84,84,84,84,84,84,84,84,84,75,75,75,76,76,72,68,68,68,72,21
K. O'Hara,United States,33,165,def,LB,1,3,0.5,1.0,84,84,81,65,78,80,58,85,86,86,79,81,84,83,78,73,60,78,76,64,71,59,40,66,78,62,79,53,50,58,86.0,14,11,15,12,8,,74,74,74,72,70,70,70,72,73,73,73,76,74,74,74,76,81,81,81,84,84,84,83,83,83,84,22
S. Mewis,United States,29,183,med,CM,1,4,1.0,0.5,84,84,78,75,77,89,63,76,78,70,70,68,59,84,65,81,66,92,89,80,82,64,57,83,86,71,79,79,83,76,83.0,12,17,17,15,12,,82,82,82,80,81,81,81,80,84,84,84,84,84,84,84,84,84,84,84,83,83,82,81,81,81,82,25
C. Sinclair,Canada,39,175,del,LW,1,4,1.0,0.5,84,84,82,89,85,87,87,42,19,16,63,66,76,88,67,90,76,78,87,87,85,70,76,84,88,67,56,88,88,86,93.0,17,9,7,12,8,,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,68,68,68,66,66,61,59,59,59,61,23
C. Seger,Sweden,37,176,med,CM,1,3,0.5,0.5,84,84,68,77,86,89,73,82,79,80,47,51,69,84,56,81,60,79,77,77,79,67,64,89,82,80,84,79,87,69,87.0,15,8,14,17,12,,81,81,81,76,78,78,78,76,83,83,83,80,84,84,84,80,84,84,84,80,80,80,83,83,83,80,24
H. Lindahl,Sweden,39,179,arq,GK,1,3,0.5,0.5,84,84,18,16,14,23,14,29,17,16,47,44,36,84,68,60,72,44,57,15,17,13,17,16,20,24,24,17,60,25,70.0,85,75,80,85,86,46.0,34,34,34,29,32,32,32,29,34,34,34,34,34,34,34,34,33,33,33,33,33,33,33,33,33,33,84
A. Ilestedt,Sweden,29,178,def,CB,1,3,0.5,0.5,84,85,58,41,85,82,35,88,89,86,64,77,37,79,43,51,90,72,78,36,60,51,52,70,74,83,85,26,46,58,79.0,15,9,9,7,14,,60,60,60,59,58,58,58,59,62,62,62,65,69,69,69,65,82,82,82,79,79,81,85,85,85,81,21
K. Asllani,Sweden,32,166,med,CAM,1,4,0.5,0.5,84,84,72,80,62,84,85,66,28,30,80,79,88,80,89,77,67,71,50,78,89,81,78,78,87,44,45,82,84,88,77.0,12,12,7,11,12,,81,81,81,83,83,83,83,83,84,84,84,84,81,81,81,84,66,66,66,68,68,64,55,55,55,64,22
M. Eriksson,Sweden,28,173,def,CB,0,3,0.5,1.0,84,84,77,48,89,80,50,90,85,81,70,69,72,87,74,56,88,77,78,44,63,61,60,79,80,84,80,67,59,57,85.0,7,17,12,10,9,,71,71,71,69,68,68,68,69,72,72,72,75,77,77,77,75,84,84,84,82,82,84,84,84,84,84,22
E. Le Sommer,France,33,161,del,ST,1,5,0.5,1.0,84,84,79,86,87,83,83,42,40,33,72,73,80,84,82,86,88,70,75,84,87,81,70,69,87,59,33,89,83,85,81.0,17,9,13,12,14,,84,84,84,83,84,84,84,83,84,84,84,84,80,80,80,84,64,64,64,66,66,63,60,60,60,63,24
S. Schmidt,Canada,34,172,med,CM,1,5,1.0,0.5,84,84,75,78,63,85,65,78,87,73,52,53,65,84,71,76,74,77,72,80,81,75,78,85,85,68,85,81,85,76,82.0,11,10,9,16,8,,79,79,79,77,79,79,79,77,83,83,83,81,84,84,84,81,84,84,84,81,81,80,80,80,80,80,22
A. Franch,United States,31,175,arq,GK,1,2,0.5,0.5,84,84,17,13,16,23,12,11,19,20,43,46,61,69,59,56,80,44,43,14,16,14,15,38,15,28,23,13,14,42,49.0,82,88,75,88,82,44.0,30,30,30,25,25,25,25,25,27,27,27,29,29,29,29,29,30,30,30,31,31,31,29,29,29,31,84
D. van de Donk,Netherlands,30,160,med,CAM,1,3,1.0,1.0,84,84,74,78,56,84,69,55,68,61,81,78,86,83,88,74,68,77,63,76,87,79,69,81,88,87,65,83,84,78,84.0,15,9,17,11,10,,81,81,81,83,82,82,82,83,84,84,84,84,84,84,84,84,78,78,78,77,77,74,70,70,70,74,22
R. Daly,England,30,167,del,ST,1,3,0.5,1.0,84,84,79,89,78,77,75,69,68,65,80,78,72,87,67,84,76,81,77,75,84,77,54,70,90,54,52,90,83,72,70.0,12,9,14,9,17,,84,84,84,84,84,84,84,84,84,84,84,84,82,82,82,84,75,75,75,77,77,76,72,72,72,76,23
A. Dahlkemper,United States,29,170,def,CB,1,3,0.5,1.0,84,84,73,46,83,79,38,88,86,84,68,73,56,89,89,62,76,86,84,66,68,72,67,81,67,83,85,69,73,70,74.0,10,9,14,14,14,,71,71,71,69,69,69,69,69,74,74,74,75,79,79,79,75,84,84,84,83,83,84,84,84,84,84,23
E. Carpenter,Australia,22,165,def,RB,1,3,1.0,0.0,84,90,88,45,68,84,42,79,87,83,86,84,70,82,78,68,78,74,79,48,76,71,41,85,80,78,83,60,65,43,84.0,9,17,15,11,14,,69,69,69,73,71,71,71,73,75,75,75,79,78,78,78,79,83,83,83,84,84,84,83,83,83,84,22
T. Gréboval,France,25,168,def,CB,0,3,0.5,0.5,84,87,71,45,86,83,38,87,87,82,65,68,52,83,66,78,86,68,82,67,59,70,77,69,73,87,86,49,59,64,69.0,14,14,11,7,15,,68,68,68,65,65,65,65,65,68,68,68,69,73,73,73,69,82,82,82,80,80,81,86,86,86,81,22
K. Walsh,England,25,168,med,CDM,1,3,0.5,1.0,84,90,67,41,66,93,42,85,84,81,66,66,64,84,71,56,70,85,69,42,78,53,51,88,83,72,77,70,85,55,85.0,16,9,10,8,8,,68,68,68,72,72,72,72,72,80,80,80,80,85,85,85,80,86,86,86,83,83,82,81,81,81,82,21
I. Engen,Norway,24,177,med,CDM,1,3,0.5,1.0,84,89,75,73,70,87,65,81,85,83,78,75,70,84,81,73,70,89,83,77,81,70,65,84,85,85,84,78,85,59,84.0,11,14,12,14,8,,80,80,80,80,80,80,80,80,85,85,85,84,87,87,87,84,88,88,88,86,86,85,85,85,85,85,23
G. Stanway,England,23,162,med,CM,1,3,1.0,0.5,84,92,66,80,47,90,68,57,76,58,84,82,82,85,83,75,69,83,48,83,91,67,75,82,84,65,77,79,84,86,69.0,12,8,15,10,8,,80,80,80,83,83,83,83,83,88,88,88,86,87,87,87,86,80,80,80,79,79,77,70,70,70,77,21
L. Schüller,Germany,24,173,del,ST,1,3,0.5,0.0,84,89,61,91,86,76,73,24,26,27,88,87,78,88,75,77,69,73,69,76,79,78,60,59,84,55,31,92,68,76,74.0,16,13,14,11,9,,87,87,87,81,83,83,83,81,83,83,83,82,74,74,74,82,58,58,58,61,61,59,52,52,52,59,24
C. Weir,Scotland,27,172,med,CM,0,3,1.0,1.0,84,85,73,78,60,89,70,75,80,63,68,69,67,83,88,86,52,83,51,85,85,78,80,80,84,62,74,82,86,61,85.0,13,14,8,8,15,,80,80,80,80,82,82,82,80,85,85,85,84,85,85,85,84,81,81,81,80,80,78,73,73,73,78,23
C. Nnadozie,Nigeria,21,180,arq,GK,1,3,0.5,0.5,84,89,12,11,12,29,7,21,13,10,39,52,48,79,42,59,71,36,61,9,17,14,13,22,21,35,22,11,53,13,38.0,85,79,79,85,88,44.0,31,31,31,28,30,30,30,28,33,33,33,31,32,32,32,31,31,31,31,30,30,29,30,30,30,29,85
